iter	Passed	Remaining
933	96490	6818
934	96589	6714
935	96692	6611
936	96794	6508
937	96902	6405
938	97006	6301
939	97105	6198
940	97210	6095
941	97309	5991
942	97410	5888
943	97511	5784
944	97615	5681
945	97718	5578
946	97828	5475
947	97929	5371
948	98029	5268
949	98130	5164
950	98230	5061
951	98332	4957
952	98432	4854
953	98531	4750
954	98633	4647
955	98733	4544
956	98837	4440
957	98934	4337
958	99032	4233
959	99135	4130
960	99237	4027
961	99338	3923
962	99436	3820
963	99536	3717
964	99640	3613
965	99744	3510
966	99850	3407
967	99950	3304
968	100051	3200
969	100156	3097
970	100256	2994
971	100356	2890
972	100456	2787
973	100558	2684
974	100661	2581
975	100760	2477
976	100874	2374
977	100976	2271
978	101076	2168
979	101183	2064
980	101282	1961
981	101384	1858
982	101483	1755
983	101581	1651
984	101685	1548
985	101786	1445
986	101887	1341
987	101987	1238
988	102085	1135
989	102187	1032
990	102288	928
991	102389	825
992	102491	722
993	102593	619
994	102695	516
995	102804	412
996	102906	309
997	103006	206
998	103107	103
999	103207	0
